sha2_hash,churn_risk,vod_purchase,quadrant,cancel_yn
b70b2a01cac118787529efd58dfd39b717d545f51cc5712384e2f8b73e644b85,61.5,0.0,Q1_고위험_저구매,0
243a5a64aa28cf2822ed1440d55ed08e4247cf39e15d9c70a71eb8c17d6b3787,44.0,0.01,Q3_저위험_저구매,0
282f6a91fd4c5fad174913b70134fb952fdcf72d58b05301e2555060ac10bb06,37.0,0.0,Q3_저위험_저구매,0
a52254a27de7a93a427787b43d9864a250f2930cd2847d8cc73dd189de9bda00,32.0,0.01,Q3_저위험_저구매,0
97a181707b3fbbcb84ab5da7510c40c461347188c8c57622ba4c7f1a5c825111,13.0,0.0,Q3_저위험_저구매,0
8f7d59a1493b61ec5561b6db1da2116c273c9f433799a632348acd7ff261ec17,61.5,0.0,Q1_고위험_저구매,0
fa900ae48862862552f06ec851553431312b861a2697caae5f9c64e11afaf4e3,17.5,0.0,Q3_저위험_저구매,0
f5ccb240fbde89105811196413bb0911c32fbb3b7cda0293e6d1ec45d002832c,49.5,0.0,Q3_저위험_저구매,0
f566ca258f5f23e9d4b6a8bc3ed05c2eb0093befc62cca473e8c55e9b15ec16a,49.5,0.0,Q3_저위험_저구매,0
143d461e2e84d360c79c83527ab6f8f758e5cea68c84b98fd04712ae6280bfb9,5.0,0.0,Q3_저위험_저구매,0
75aed75981ce21ece29e25ed677c654baa4dcef4859c06597d71a6387ee884fd,13.0,0.0,Q3_저위험_저구매,0
14e1fb9a4e52c7c81393aa0af7b963539a71a6842252c19c6b77d652ac52fe1e,37.0,0.0,Q3_저위험_저구매,0
50bbb78686858fb5055c880d54a6c9a7959d62fdd6ac3c4f3a426b15fd66e20c,56.5,0.0,Q1_고위험_저구매,0
1580661e956e7c28866a4d62a680b49c70236c9d4cde2ab6a146b093248d1845,50.5,0.0,Q1_고위험_저구매,0
cd192eb4ebc974d97d2488fd2979cdd5c728b6f6f0224e6cbc211337500f6b83,49.5,0.0,Q3_저위험_저구매,0
a6b7cd84cde9447e132e8536a8958f5686f53451034c607692b6ce48608d0d80,37.0,0.0,Q3_저위험_저구매,0
121854a8c267c22f16a4a9adf896665097aed5b9333426ec46362c768ff78213,37.0,0.0,Q3_저위험_저구매,0
5d964cf3f6651a850db4e34810664c666a65b48b8bc882543d2a0e65063e2d53,44.5,0.06,Q3_저위험_저구매,0
1fb66bf97dd9fa2d1d3ab90f817ded2086ef11e723249f2e83a8ea0825b5794d,49.5,0.0,Q3_저위험_저구매,0
64af96a0d50c2172ffa6efeba0bdafe9a273b555838d98da60e36dad7b4a20d7,57.0,0.0,Q1_고위험_저구매,0
8ebf1d4f8328f617d80d42daab8292581e058739634f8f403d14cb2af1882b09,38.0,0.02,Q3_저위험_저구매,0
1005be455085b157dc07673a6a24714aca76b6d22424112899a17a66e6ffa507,69.5,0.0,Q1_고위험_저구매,0
35dbf1c222639d4081cadee6260bf5edbc569b99cd3e568a058e8d821a54b260,49.5,0.0,Q3_저위험_저구매,0
a42f6d9a1b7ad2db1ca6fdad9a8bd753b138eb047ecb0563cdf2cc151a0eb319,20.0,0.0,Q3_저위험_저구매,0
39f54d2c78bf7d7879c3ba3e37584d8aab4bd38cab5ae65cbdc9a014adf64e7e,37.0,0.0,Q3_저위험_저구매,0
5662ff3ad9a83148f8b94587414aa009e48f4af119f20743ef46c5c7e2ded0a6,37.0,0.0,Q3_저위험_저구매,0
9db8d3f6fee1ffca0ce2a89108f778f57fc3a4d09fb0d8fa894e6ff62d485cd1,13.0,0.0,Q3_저위험_저구매,0
270340806eabc19b2a20d740f5c14c1eec1268063050266f1d5f6566dc80ec64,50.5,0.01,Q1_고위험_저구매,0
8b480c83e4dbe758126a8667b6587b302ba28ac2ccd49753341a0769860db8dd,25.5,0.0,Q3_저위험_저구매,0
f8c55e1f69a6e40c787e4fd20df026df6d2a3c250ec87abf3b2efb5c9c9c121c,44.5,0.02,Q3_저위험_저구매,0
449a0f3fc58959c816cc7b8f4c6d73fc5921739e1a341f17f0c9e48f6df7c313,25.5,0.0,Q3_저위험_저구매,0
468697f1dd457a12db1c47c71cd0d3eb7a620df3345a4fbb68bf16fc19265823,37.0,0.0,Q3_저위험_저구매,0
d7fa25b958ba40a80a9a31d10e34cc446230b6c76dfa5fc71ea8476815c2b2d9,37.0,0.0,Q3_저위험_저구매,0
ba11cda427759b5343b7fa6b9eba349696a76b226207b4b73ccc180c802a44a1,32.0,0.02,Q3_저위험_저구매,0
e9a3e9415002c27098174d4f1564d700e2b6c45efe034ce5fb0f5eba20233881,49.0,0.0,Q3_저위험_저구매,0
cf75d03b6859f02877ea5679bcf1c51bdf175294f662d015eabaa08b9ca4533a,49.5,0.0,Q3_저위험_저구매,0
971a40477e6865c798edd70a903f47343fe365638bf66bc601e032f34a72beb8,37.0,0.0,Q3_저위험_저구매,0
b15c872f1a23580d0ed68adaf5f77127dbdb70bb2c3a05249d71e2917590a3d4,38.0,0.01,Q3_저위험_저구매,0
